date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default
#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,
2012-07-15,Maize - Wholesale,MT,cereals and tubers,10.72,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2012-08-15,Maize - Wholesale,MT,cereals and tubers,11.49,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2012-09-15,Maize - Wholesale,MT,cereals and tubers,10.45,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2012-10-15,Maize - Wholesale,MT,cereals and tubers,10.13,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2012-11-15,Maize - Wholesale,MT,cereals and tubers,10.49,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2012-12-15,Maize - Wholesale,MT,cereals and tubers,10.22,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2013-01-15,Maize - Wholesale,MT,cereals and tubers,10.2,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2013-02-15,Maize - Wholesale,MT,cereals and tubers,10.21,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2013-03-15,Maize - Wholesale,MT,cereals and tubers,10.19,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2013-04-15,Maize - Wholesale,MT,cereals and tubers,10.23,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2013-05-15,Maize - Wholesale,MT,cereals and tubers,9.95,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2013-06-15,Maize - Wholesale,MT,cereals and tubers,10.2,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2013-07-15,Maize - Wholesale,MT,cereals and tubers,9.77,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2013-08-15,Maize - Wholesale,MT,cereals and tubers,9.21,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2013-09-15,Maize - Wholesale,MT,cereals and tubers,8.56,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2013-10-15,Maize - Wholesale,MT,cereals and tubers,8.08,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2013-11-15,Maize - Wholesale,MT,cereals and tubers,7.95,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2013-12-15,Maize - Wholesale,MT,cereals and tubers,7.37,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2014-01-15,Maize - Wholesale,MT,cereals and tubers,7.53,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2014-02-15,Maize - Wholesale,MT,cereals and tubers,8.44,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2014-03-15,Maize - Wholesale,MT,cereals and tubers,8.73,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2014-04-15,Maize - Wholesale,MT,cereals and tubers,9.23,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2014-05-15,Maize - Wholesale,MT,cereals and tubers,9.34,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2014-06-15,Maize - Wholesale,MT,cereals and tubers,10.06,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2014-07-15,Maize - Wholesale,MT,cereals and tubers,10.31,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
