reefer_mmsi,fishing_mmsi,latitude,longitude,event_start_time,event_end_time,reefer_flag_iso3,fishing_flag_iso3
351763000,412329685,-46.20391611714298,-59.975880769214704,2015-03-31 00:50:00,2015-03-31 12:40:00,PAN,CHN
351763000,412329686,-44.94932461686374,-59.41943818428889,2015-01-18 07:20:00,2015-01-18 11:20:00,PAN,CHN
351763000,412329692,-45.55759471440863,-59.71512923720841,2015-03-18 04:50:00,2015-03-19 00:40:00,PAN,CHN
351763000,412329691,-45.755788867892804,-60.0416153401808,2015-05-07 03:40:00,2015-05-07 14:30:00,PAN,CHN
351763000,412329692,-45.67357889596228,-59.609555171637226,2015-04-11 14:50:00,2015-04-12 00:50:00,PAN,CHN
351763000,412329693,-42.2188869677338,-57.43528870383994,2015-07-02 13:40:00,2015-07-02 23:40:00,PAN,CHN
351763000,412329692,-42.83056000327035,-57.01833598908481,2015-05-14 12:50:00,2015-05-15 03:40:00,PAN,CHN
351763000,412329692,-42.24087723490972,-57.31211986710073,2015-07-04 11:50:00,2015-07-04 19:50:00,PAN,CHN
351763000,412329692,-42.75304121530691,-56.895289226677434,2015-05-30 15:20:00,2015-05-31 03:50:00,PAN,CHN
351763000,412329685,-46.342988502707605,-59.95099741433705,2015-03-19 13:40:00,2015-03-19 23:40:00,PAN,CHN
351763000,412329688,-45.318221253375896,-59.941397100030315,2015-01-15 02:50:00,2015-01-15 12:40:00,PAN,CHN
351763000,412329693,-42.349342231498035,-57.16768147352033,2015-05-29 13:10:00,2015-05-29 16:40:00,PAN,CHN
351763000,412329685,-46.97155224906978,-60.45945514542267,2015-06-04 03:00:00,2015-06-04 06:50:00,PAN,CHN
351763000,412329685,-44.91339130016698,-59.226542034642065,2015-01-20 23:30:00,2015-01-21 09:50:00,PAN,CHN
351763000,412329686,-45.937663569008365,-60.23916038817143,2015-07-13 08:30:00,2015-07-13 14:00:00,PAN,CHN
351763000,412329692,-45.83424673838706,-59.43103951028283,2015-01-14 02:20:00,2015-01-14 07:40:00,PAN,CHN
351763000,412329686,-45.655902585355186,-59.89229581012468,2015-03-27 23:10:00,2015-03-28 04:00:00,PAN,CHN
636017468,412371197,0.5179886447505443,175.93152470915783,2016-06-29 00:50:00,2016-06-29 04:40:00,LBR,CHN
636017468,412371198,0.5516951897224023,175.85479805134358,2016-06-29 04:50:00,2016-06-29 08:10:00,LBR,CHN
355720000,412329657,-15.739409926834387,-81.19765659448713,2015-12-08 01:10:00,2015-12-08 10:50:00,PAN,CHN
355720000,412331088,-15.660850589493155,-81.15085111834814,2015-11-18 08:30:00,2015-11-18 18:50:00,PAN,CHN
355720000,412421357,-17.0443606845073,-79.39693584208167,2016-04-12 11:10:00,2016-04-12 16:00:00,PAN,CHN
355720000,412329656,-46.247922584219346,-60.14599543938736,2015-03-12 11:20:00,2015-03-13 06:20:00,PAN,CHN
355720000,412331055,-47.12224348614303,-60.30599494714006,2015-03-04 12:00:00,2015-03-04 17:00:00,PAN,CHN
355720000,412331055,-15.597990490734482,-81.41073836225056,2015-12-08 16:40:00,2015-12-09 03:20:00,PAN,CHN
355720000,412331055,-16.854437531471643,-79.75347261659324,2015-11-22 16:50:00,2015-11-23 06:30:00,PAN,CHN
355720000,412331055,-47.12072512799489,-60.2998735044168,2015-03-04 13:40:00,2015-03-04 17:00:00,PAN,CHN
353981000,412371196,-15.89419406007058,-79.5984994182315,2014-11-19 18:40:00,2014-11-20 04:30:00,PAN,CHN
308765000,412439575,-46.619420783905504,-60.80446882074728,2015-03-25 03:10:00,2015-03-25 07:50:00,BHS,CHN
308765000,412420809,-46.401595938641506,-60.424956362116724,2015-03-24 03:00:00,2015-03-24 07:40:00,BHS,CHN
352349000,412217999,-62.48604535015461,-59.70271170752336,2015-03-31 15:50:00,2015-03-31 23:40:00,PAN,CHN
352349000,412217999,-62.48537574535246,-59.70345912932268,2015-03-31 13:50:00,2015-03-31 23:40:00,PAN,CHN
352349000,412217999,-62.48385249675843,-59.70106341778851,2015-03-30 21:40:00,2015-03-31 06:30:00,PAN,CHN
273511500,412270038,62.24526341908529,177.71573219361386,2016-07-10 09:40:00,2016-07-11 10:10:00,RUS,CHN
273511500,412200083,41.703616412826314,150.92409062692002,2016-06-15 21:30:00,2016-06-16 11:10:00,RUS,CHN
374610000,412280982,-62.93945702541144,-58.78307280113848,2016-03-27 15:40:00,2016-03-28 01:20:00,PAN,CHN
